,ID,DATE,TEXT,RENDERED_TEXT,USERNAME,DISPLAYNAME,URL,TAGS
0,1499043811343106052,2022-03-02 15:27:50+00:00,Min Aung Hlaing's intelligence is taking over mobile payment systems such as #Kpay &amp; #WavePay to track down not only activists but also on donors. They would abduct anyone suspicious of funding and jail them without trial.Many dont dare to voice out publicly for their safety. https://t.co/GBs4lZ7DfU,Min Aung Hlaing's intelligence is taking over mobile payment systems such as #Kpay &amp; #WavePay to track down not only activists but also on donors. They would abduct anyone suspicious of funding and jail them without trial.Many dont dare to voice out publicly for their safety. https://t.co/GBs4lZ7DfU,pyaezone,pyaezone,https://twitter.com/pyaezone/status/1499043811343106052,"['Kpay', 'WavePay']"
1,1498847250021171204,2022-03-02 02:26:46+00:00,"We have recently relaunched our mission, vision and values in @WaveMoney_MM. Here is our CTO Ko Htin launching with the team in Yangon. #fintech #mobilemoney #digital #wavepay #wavemoney #culture https://t.co/rBD1bN0h0X","We have recently relaunched our mission, vision and values in @WaveMoney_MM. Here is our CTO Ko Htin launching with the team in Yangon. #fintech #mobilemoney #digital #wavepay #wavemoney #culture https://t.co/rBD1bN0h0X",WaveMoney_MM,Wave Money Myanmar,https://twitter.com/WaveMoney_MM/status/1498847250021171204,"['fintech', 'mobilemoney', 'digital', 'wavepay', 'wavemoney', 'culture']"
2,1457202484514988036,2021-11-07 04:25:20+00:00,"To be fair, @WaveMoney_MM @BradJOz also freeze accounts without any explanation. But at least, their data privacy is a little safer than #Kpay so can't be easily track. So, #Wavepay is a lesser evil here.","To be fair, @WaveMoney_MM @BradJOz also freeze accounts without any explanation. But at least, their data privacy is a little safer than #Kpay so can't be easily track. So, #Wavepay is a lesser evil here.",pyaezone,pyaezone,https://twitter.com/pyaezone/status/1457202484514988036,"['Kpay', 'Wavepay']"
3,1450053140191989762,2021-10-18 10:56:23+00:00,"No worries!!!We accept  100% via i/mBanking on all products such as #AYAPay, #CBPay #KBZPay, #OnePay, #MytelPay, #WavePay and also #Visa, #Mastercard, #Unionpay &amp; #MPU cards are accepted.
5% #cashback when you pay all in cash on any gadgets.
Shop now » https://t.co/fqcnWa1xhs https://t.co/7XyRKGjObh","No worries!!!We accept  100% via i/mBanking on all products such as #AYAPay, #CBPay #KBZPay, #OnePay, #MytelPay, #WavePay and also #Visa, #Mastercard, #Unionpay &amp; #MPU cards are accepted.
5% #cashback when you pay all in cash on any gadgets.
Shop now » ict.com.mm/pages/thadingy… https://t.co/7XyRKGjObh",MyanmarICT,ICT.com.mm,https://twitter.com/MyanmarICT/status/1450053140191989762,"['AYAPay', 'CBPay', 'KBZPay', 'OnePay', 'MytelPay', 'WavePay', 'Visa', 'Mastercard', 'Unionpay', 'MPU', 'cashback']"
4,1437610681990139907,2021-09-14 02:54:30+00:00,"100% online payment accepted including from mobile banking applications.
We assure 100% safe and secure online payment transactions. 
Shop now: https://t.co/YnjINCBqNP

#WavePay #KBZPay #CBPay #Visa #Mastercard #MPU #ShopICT #earbuds #earphones #Myanmar https://t.co/m7DXrb693m","100% online payment accepted including from mobile banking applications.
We assure 100% safe and secure online payment transactions. 
Shop now: ict.com.mm

#WavePay #KBZPay #CBPay #Visa #Mastercard #MPU #ShopICT #earbuds #earphones #Myanmar https://t.co/m7DXrb693m",MyanmarICT,ICT.com.mm,https://twitter.com/MyanmarICT/status/1437610681990139907,"['WavePay', 'KBZPay', 'CBPay', 'Visa', 'Mastercard', 'MPU', 'ShopICT', 'earbuds', 'earphones', 'Myanmar']"
5,1436255660748935169,2021-09-10 09:10:08+00:00,"⚡️9.9 Super Sale⚡️ 

👩‍💻Laptops: up to 31% OFF 

🛍Shop here: https://t.co/7w7uAASZ53

💳 We accept 100% with
#WavePay #KBZPay #CBPay #Visa #Mastercard #MPU https://t.co/hReuDKnto6","⚡️9.9 Super Sale⚡️ 

👩‍💻Laptops: up to 31% OFF 

🛍Shop here: ict.com.mm/collections/la…

💳 We accept 100% with
#WavePay #KBZPay #CBPay #Visa #Mastercard #MPU https://t.co/hReuDKnto6",MyanmarICT,ICT.com.mm,https://twitter.com/MyanmarICT/status/1436255660748935169,"['WavePay', 'KBZPay', 'CBPay', 'Visa', 'Mastercard', 'MPU']"
6,1389765698964975621,2021-05-05 02:15:37+00:00,"WavePay by @WaveMoney_MM is operational across all mobile operators in Myanmar. Send money, buy airtime, pay bills all from the convenience of your smartphone! #mobilemoney #fintech #Myanmar #wavemoney #WavePay https://t.co/i41kmYAC0B","WavePay by @WaveMoney_MM is operational across all mobile operators in Myanmar. Send money, buy airtime, pay bills all from the convenience of your smartphone! #mobilemoney #fintech #Myanmar #wavemoney #WavePay https://t.co/i41kmYAC0B",WaveMoney_MM,Wave Money Myanmar,https://twitter.com/WaveMoney_MM/status/1389765698964975621,"['mobilemoney', 'fintech', 'Myanmar', 'wavemoney', 'WavePay']"
7,1389761160904208386,2021-05-05 01:57:35+00:00,"WavePay by @WaveMoney_MM is operational across all mobile operators in Myanmar. Send money, buy airtime, pay bills all from the convenience of your smartphone! #mobilemoney #fintech #Myanmar #wavemoney #wavepay https://t.co/3ME4JkhU4r","WavePay by @WaveMoney_MM is operational across all mobile operators in Myanmar. Send money, buy airtime, pay bills all from the convenience of your smartphone! #mobilemoney #fintech #Myanmar #wavemoney #wavepay https://t.co/3ME4JkhU4r",BradJOz,Brad Jones,https://twitter.com/BradJOz/status/1389761160904208386,"['mobilemoney', 'fintech', 'Myanmar', 'wavemoney', 'wavepay']"
8,1389464299014397952,2021-05-04 06:17:58+00:00,@pyaezone What's the use of #WavePay when it's services are cash transfer and there is no cash in circulation as banks are under serious mismanagement of Junta controlled Central Bank,@pyaezone What's the use of #WavePay when it's services are cash transfer and there is no cash in circulation as banks are under serious mismanagement of Junta controlled Central Bank,PaingsView,Paing,https://twitter.com/PaingsView/status/1389464299014397952,['WavePay']
9,1389458567325908994,2021-05-04 05:55:11+00:00,Some mobile banking apps like #WavePay are now back as a whitelised app- meaning it can be used if mobile data is on. Not sure how long it can last but this shows MAH have long term plans to disable mobile internet access and only allowing moneymaking apps through whitelists.,Some mobile banking apps like #WavePay are now back as a whitelised app- meaning it can be used if mobile data is on. Not sure how long it can last but this shows MAH have long term plans to disable mobile internet access and only allowing moneymaking apps through whitelists.,pyaezone,pyaezone,https://twitter.com/pyaezone/status/1389458567325908994,['WavePay']
